1,7U,30,23,1
2,7D,23,30,1
3,7S,12,23,1
4,7S,24,23,1
5,7E,23,12,1
6,7E,23,24,1
7,4U,30,86,1
8,4D,86,30,1
9,6U,23,1,1
10,6D,1,23,1
11,6S,11,1,1
12,6S,24,1,1
13,6E,1,24,1
14,6E,1,11,1
